absorbance_2.3_1_oilA,2.3_1_oilA,2.3_2_oilA,2.3_3_oilA
796.939,0.06768279,0.04564836,0.03364315
797.4211,0.06794989,0.04511588,0.03452722
797.9032,0.06806377,0.04452443,0.03522253
798.3853,0.06799495,0.04397202,0.03561427
798.8674,0.06774849,0.0435444,0.03564569
799.3495,0.06737864,0.04330044,0.03533787
799.8317,0.06698202,0.04325127,0.03478938
800.3138,0.06667134,0.04336764,0.03413918
800.7959,0.06654505,0.04359407,0.03353069
801.278,0.06664275,0.04387473,0.03305093
801.7601,0.06693006,0.04416889,0.03270989
802.2422,0.06730283,0.04445263,0.0324441
802.7244,0.06762844,0.04471561,0.03215567
803.2065,0.06778835,0.0449473,0.03176078
803.6886,0.06771588,0.04513131,0.03123426
804.1707,0.06742096,0.04524919,0.03063064
804.6528,0.0669798,0.04528993,0.03007014
805.1349,0.06650659,0.04526259,0.02970093
805.6171,0.06610393,0.04519735,0.02963351
806.0992,0.06584062,0.04513953,0.02990808
806.5813,0.06573661,0.04513052,0.03047154
807.0634,0.06577134,0.04518702,0.03120368
807.5455,0.0659052,0.04529068,0.03194826
808.0276,0.0660999,0.04539111,0.03256773
808.5098,0.06633364,0.04542962,0.03298998
808.9919,0.06659735,0.0453578,0.03321379
809.474,0.0668892,0.04516237,0.03330031
809.9561,0.0672051,0.04486941,0.03333149
810.4382,0.06753689,0.04453612,0.03337983
810.9203,0.06787658,0.04422946,0.03347608
811.4025,0.06822295,0.04400009,0.0336042
811.8846,0.0685827,0.04387353,0.03371531
812.3667,0.06896298,0.04384472,0.03375657
812.8488,0.0693574,0.04388999,0.0336988
813.3309,0.06973084,0.04397974,0.03354915
