absorbance_1,2.6_4A.CSV_1,absorbance_3,2.6_4A.CSV_2,absorbance_5,2.6_4A.CSV_3,absorbance_7,2.6_4A.CSV_4
652.7861,0.04185764,652.7861,0.06262234,652.7861,0.05686662,652.7861,0.0626714
653.2682,0.0405223,653.2682,0.06298784,653.2682,0.05763419,653.2682,0.06281392
653.7503,0.03916037,653.7503,0.06361742,653.7503,0.05828293,653.7503,0.06324916
654.2324,0.03785836,654.2324,0.06432614,654.2324,0.0587483,654.2324,0.0637999
654.7145,0.03672101,654.7145,0.06487579,654.7145,0.05895142,654.7145,0.06434401
655.1967,0.03586863,655.1967,0.06506211,655.1967,0.05884997,655.1967,0.06487612
655.6788,0.03540967,655.6788,0.06478684,655.6788,0.05847483,655.6788,0.06549621
656.1609,0.03541896,656.1609,0.06406834,656.1609,0.05793692,656.1609,0.06636247
656.643,0.03589791,656.643,0.06303318,656.643,0.05739436,656.643,0.06759189
657.1251,0.03676839,657.1251,0.0618564,657.1251,0.0569818,657.1251,0.06917531
657.6072,0.03788166,657.6072,0.06073445,657.6072,0.05676306,657.6072,0.07093056
658.0894,0.03906041,658.0894,0.0598426,658.0894,0.05668866,658.0894,0.07252198
658.5715,0.04015065,658.5715,0.059318,658.5715,0.05662207,658.5715,0.07357058
659.0536,0.04104007,659.0536,0.05927788,659.0536,0.05638635,659.0536,0.07374063
659.5357,0.0416875,659.5357,0.05980233,659.5357,0.05586117,659.5357,0.07289709
660.0178,0.04210742,660.0178,0.06091774,660.0178,0.05504691,660.0178,0.07115828
660.4999,0.04234641,660.4999,0.06257516,660.4999,0.05408424,660.4999,0.06889181
660.9821,0.0424481,660.9821,0.06462953,660.9821,0.05320872,660.9821,0.06659582
661.4642,0.04242938,661.4642,0.06685172,661.4642,0.05266397,661.4642,0.0647479
661.9463,0.04227564,661.9463,0.06894201,661.9463,0.05263492,661.9463,0.06370914
662.4284,0.04195306,662.4284,0.07062235,662.4284,0.05317028,662.4284,0.06359624
662.9105,0.04143042,662.9105,0.07170925,662.9105,0.05418324,662.9105,0.06428091
663.3926,0.04070086,663.3926,0.07216761,663.3926,0.05548471,663.3926,0.06543732
663.8748,0.03979223,663.8748,0.07212838,663.8748,0.05687249,663.8748,0.06668591
664.3569,0.0387645,664.3569,0.07182975,664.3569,0.05819428,664.3569,0.06770742
664.839,0.03770836,664.839,0.07154354,664.839,0.05937573,664.839,0.06831406
665.3211,0.03673166,665.3211,0.07147032,665.3211,0.06042551,665.3211,0.0684872
665.8032,0.03597782,665.8032,0.07169855,665.8032,0.06139604,665.8032,0.06835172
666.2853,0.03564923,666.2853,0.07217881,666.2853,0.06234508,666.2853,0.06817237
666.7675,0.03599299,666.7675,0.07273176,666.7675,0.06329602,666.7675,0.06830274
667.2496,0.03723149,667.2496,0.07311538,667.2496,0.06421736,667.2496,0.06912991
667.7317,0.03934754,667.7317,0.07316709,667.7317,0.0650377,667.7317,0.07085213
668.2138,0.04191304,668.2138,0.07296559,668.2138,0.06571456,668.2138,0.0732243
668.6959,0.04421951,668.6959,0.07279356,668.6959,0.06631893,668.6959,0.07559104
669.178,0.04576947,669.178,0.07285734,669.178,0.06700248,669.178,0.07734719
669.6602,0.04652999,669.6602,0.07315176,669.6602,0.06786563,669.6602,0.07831836
670.1423,0.04675407,670.1423,0.07359676,670.1423,0.06891128,670.1423,0.07868055
670.6244,0.04674282,670.6244,0.07411906,670.6244,0.07003721,670.6244,0.07874802
671.1065,0.04670865,671.1065,0.07463836,671.1065,0.07108536,671.1065,0.07880368
671.5886,0.04676928,671.5886,0.07501689,671.5886,0.07185505,671.5886,0.0790697
672.0707,0.04694141,672.0707,0.0750805,672.0707,0.07215711,672.0707,0.07966768
672.5529,0.04716574,672.5529,0.07467522,672.5529,0.07187773,672.5529,0.08060411
673.035,0.04733026,673.035,0.07371825,673.035,0.07101268,673.035,0.08176494
673.5171,0.04732169,673.5171,0.0722644,673.5171,0.06970531,673.5171,0.08293944
