absorbance_2.6_1A,2.6_1A,2.6_2A,2.6_3A,2.6_4A
722.693,0.09522469,0.1247162,0.1171977,0.1266181
723.1751,0.09441485,0.1240518,0.1162012,0.1261261
723.6572,0.09347303,0.1230223,0.1153643,0.1253823
724.1393,0.09248984,0.1216651,0.1146459,0.1243718
724.6215,0.09152342,0.1199907,0.1139151,0.1230825
725.1036,0.09058142,0.1180135,0.1129839,0.1215172
725.5857,0.08961681,0.1157881,0.1116873,0.1196998
726.0678,0.0885475,0.1134271,0.1099361,0.1176794
726.5499,0.08728549,0.1110962,0.1077582,0.1155284
727.032,0.08577578,0.1089569,0.1052938,0.1133255
727.5142,0.08401108,0.1071246,0.1027585,0.1111502
727.9963,0.0820379,0.1056287,0.1003862,0.1090752
728.4784,0.07993758,0.1044113,0.09834637,0.1071547
728.9605,0.07781118,0.1033574,0.09672096,0.1054296
729.4426,0.07576352,0.1023507,0.09549343,0.1039232
729.9247,0.07388352,0.1013349,0.0945796,0.1026357
730.4069,0.07224751,0.1003337,0.09386608,0.10154
730.889,0.07091084,0.09944388,0.09324966,0.1005765
731.3711,0.06989677,0.0987802,0.09266357,0.09966794
731.8532,0.0691831,0.09842797,0.0920639,0.09872813
732.3353,0.06868648,0.09839308,0.09141448,0.09769127
732.8174,0.06827287,0.09859721,0.09067203,0.09653713
733.2996,0.06776169,0.09889075,0.08978157,0.09530123
733.7817,0.06697915,0.0990997,0.08870079,0.09407022
734.2638,0.06582151,0.09908048,0.08743163,0.09294748
734.7459,0.06428894,0.0987321,0.08604543,0.09202451
735.228,0.06251065,0.09801673,0.08468223,0.09133758
735.7101,0.06070278,0.09694748,0.08350886,0.0908524
736.1923,0.05913099,0.09557629,0.08268592,0.09047222
736.6744,0.05801504,0.09398228,0.08230063,0.09007372
737.1565,0.05746503,0.09226348,0.08233688,0.08955503
737.6386,0.05745922,0.09053937,0.08266934,0.08886622
738.1207,0.05784926,0.08892794,0.08309761,0.08803701
738.6028,0.05842131,0.08752258,0.08340617,0.08716437
739.085,0.05894782,0.08637534,0.08340183,0.08639269
739.5671,0.05927061,0.08547525,0.0829749,0.0858598
740.0492,0.05932711,0.08475793,0.08210523,0.08565546
740.5313,0.05914401,0.08412414,0.08085344,0.08579621
741.0134,0.0588022,0.08348402,0.07932927,0.08621383
741.4955,0.05838901,0.08278593,0.07766043,0.08677255
741.9777,0.05795887,0.08203264,0.07597406,0.08729501
742.4598,0.05751053,0.081272,0.07436989,0.08762076
742.9419,0.05699644,0.08057258,0.07292476,0.08763237
743.424,0.05634537,0.07999285,0.07169499,0.08727854
743.9061,0.05550103,0.07955724,0.07071238,0.0865787
744.3882,0.05444118,0.07925688,0.0699853,0.08560649
744.8704,0.05319138,0.07906076,0.06949336,0.08446712
745.3525,0.051813,0.07893719,0.06919163,0.08326133
745.8346,0.05039058,0.07886453,0.0690175,0.08207304
746.3167,0.04900769,0.07883166,0.06891251,0.08095498
746.7988,0.0477258,0.07882763,0.06884637,0.07992845
747.2809,0.04658595,0.07882701,0.0688253,0.07899772
747.7631,0.04561041,0.07878394,0.06888925,0.0781623
748.2452,0.04481139,0.07864299,0.06908467,0.0774253
748.7273,0.04420488,0.07835193,0.069436,0.07679379
749.2094,0.04381408,0.07788398,0.06991358,0.07627203
749.6915,0.04366422,0.07724854,0.07043137,0.07585221
750.1736,0.04377637,0.07648829,0.07085411,0.07551137
750.6558,0.04415058,0.07566497,0.07104394,0.07522
751.1379,0.04475383,0.07483725,0.07091106,0.07496035
751.62,0.04550837,0.07405726,0.07044017,0.07474432
752.1021,0.0462962,0.07336579,0.06970798,0.07462493
752.5842,0.04697929,0.0727999,0.06885576,0.07468401
753.0663,0.04741541,0.07240482,0.06805867,0.07501411
753.5485,0.04750518,0.07222876,0.06745989,0.07567097
754.0306,0.04721989,0.07230845,0.06712987,0.07663914
